,Tweet Created At,Tweet Text,Tweet Link,code_clasif,class,lecture_name,date,hour,classroom
1739,2018-12-11 06:12:15,ECEU Matematika Ekonomi amp Bisnis dosen Nachrowi kuliah Pengganti akan diberikan hari Selasa 11/12  jam 14.00 R. B.107,twitter.com/i/web/status/1072373476214890497,ECEU,Matematika Ekonomi  Bisnis,Nachrowi,Selasa 11/12,14.00,B.107
1741,2018-12-11 03:13:37,ECEU Mikroekonomi 1 dosen M. Shauqi Azar kuliah pengganti akan diberikan hari Selasa 11/12 jam 14.00 R. A.102,twitter.com/i/web/status/1072328522075537408,ECEU,Mikroekonomi 1,M. Shauqi Azar,Selasa 11/12,14.00,A.102
1744,2018-12-11 02:40:35,ECEU Analisis Proyek Publik dosen Rima Prima Artha kuliah pengganti akan diberikan hari Rabu 12/12 jam 16.30 R. A.113,twitter.com/i/web/status/1072320208952418304,ECEU,Analisis Proyek Publik,Rima Prima Artha,Rabu 12/12,16.30,A.113
1745,2018-12-11 02:35:19,ECAU Pengantar Akuntansi dosen Ruddy Koesnadi kuliah hari Kamis 13/12 ditiadakan diganti hari Rabu 12/12 jam 16.30 R. Sidharta,twitter.com/i/web/status/1072318885330771968,ECAU,Pengantar Akuntansi,Ruddy Koesnadi,Kamis 13/12 ditiadakan diganti,,
1746,2018-12-11 02:33:52,ECAU Analisa Penggunaan Laporan Keuangan A dosen Rallyati / Evony Silvino kuliah pengganti akan diberikan hari Selasa 11/12 jam 16.30 R. A.211,twitter.com/i/web/status/1072318518425600000,ECAU,Analisa Penggunaan Laporan Keuangan A,Rallyati / Evony Silvino,Selasa 11/12,16.30,A.211
1747,2018-12-11 02:11:31,ECEI Bisnis Global Islam dosen Evony S. Kuliah Pengganti akan diberikan Hari Selasa11/12 Jam 13.30 Ruang B.108,twitter.com/i/web/status/1072312893587275781,ECEI,Bisnis Global Islam,Evony S.,Selasa11/12,13.30,B.108
1750,2018-12-10 07:04:01,ECFE MPKT A A dosen Heru Sudarisman kuliah tambahan akan diberikan hari Senin 10/12 jam 19.00 R. A.113,twitter.com/i/web/status/1072024115463118848,ECFE,MPKT A A,Heru Sudarisman,Senin 10/12,19.00,A.113
1751,2018-12-10 06:59:33,ECMU Tanggung Jawab Sosial Etika Bisnis dosen Riga Adiwoso kuliah pengganti akan diberikan hari Selasa 11/12 jam 11.00 R. A.111,twitter.com/i/web/status/1072022991762944000,ECMU,Tanggung Jawab Sosial Etika Bisnis,Riga Adiwoso,Selasa 11/12,11.00,A.111
1752,2018-12-10 06:57:52,ECAU Akuntansi Organisasi Nirlaba dosen Dodik Siswantoro kuliah pengganti akan diberikan hari Selasa 11/12 jam 08.00 R. A.107,twitter.com/i/web/status/1072022571497926656,ECAU,Akuntansi Organisasi Nirlaba,Dodik Siswantoro,Selasa 11/12,08.00,A.107
1753,2018-12-10 06:29:09,ECIE Bisnis Global Islam dosen Evony Silvino kuliah tambahan akan diberikan hari Selasa 11/12 jam 16.30 R. A.112,twitter.com/i/web/status/1072015344837914624,ECIE,Bisnis Global Islam,Evony Silvino,Selasa 11/12,16.30,A.112
1754,2018-12-10 06:24:44,ECMU Manajemen Keuangan dosen Adhi Vithara kuliah tambahan akan diberikan hari Selasa 11/12 jam 08.00 R. A.212,twitter.com/i/web/status/1072014231728349184,ECMU,Manajemen Keuangan,Adhi Vithara,Selasa 11/12,08.00,A.212
1755,2018-12-10 04:33:26,ECAU Pengantar Akuntansi E Chaerul D. Djakman kuliah hari Kamis 13/12 DITIADAKAN kuliah pengganti akan diberikan hari Senin 10/12 jam 14.00 R. A.206,twitter.com/i/web/status/1071986220090228736,ECAU,Pengantar Akuntansi E Chaerul D. Djakman,hari Kamis 13/12 DITIADAKAN,Senin 10/12,14.00,A.206
1756,2018-12-10 04:09:45,ECMU Manajemen Pemasaran dosen Rifelly Dewi Astuti kuliah tambahan akan diberikan hari Selasa 11/12 jam 08.00 R. A.205,twitter.com/i/web/status/1071980263385616384,ECMU,Manajemen Pemasaran,Rifelly Dewi Astuti,Selasa 11/12,08.00,A.205
1757,2018-12-10 04:06:03,ECMU Pengantar Bisnis dosen Niniek L. Gyat kuliah tambahan akan diberikan hari Selasa 11/12 jam 08.00 R. A.105,twitter.com/i/web/status/1071979329179987971,ECMU,Pengantar Bisnis,Niniek L. Gyat,Selasa 11/12,08.00,A.105
1758,2018-12-10 04:03:34,ECAU Akuntansi Sektor Publik dosen Deddi Nordiawan kuliah tambahan akan diberikan hari Senin 10/12 jam 16.30 R. A.203,twitter.com/i/web/status/1071978705046532096,ECAU,Akuntansi Sektor Publik,Deddi Nordiawan,Senin 10/12,16.30,A.203
1759,2018-12-10 03:28:36,ECMU Bisnis Internasional dosen Sari Wahyuni kuliah hari Rabu 12/12 DITIADAKAN diganti hari Senin 10/12 jam  16.30 R. A.102,twitter.com/i/web/status/1071969906931855361,ECMU,Bisnis Internasional,Sari Wahyuni,Rabu 12/12 DITIADAKAN diganti,,
1760,2018-12-10 03:21:48,ECIE Manajemen Filantoropi Islam dosen Miranti Kartika Dewi kuliah tambahan akan diberikan hari Selasa 11/12 jam 11.00 R. A.207,twitter.com/i/web/status/1071968193877434368,ECIE,Manajemen Filantoropi Islam,Miranti Kartika Dewi,Selasa 11/12,11.00,A.207
1764,2018-12-10 02:14:49,ECEU Ekonomi Kemiskinan dosen Kartika Sari Juniwati kuliah pengganti akan diberikan hari Senin 10/12 jam 16.30 R. A.109,twitter.com/i/web/status/1071951338303500289,ECEU,Ekonomi Kemiskinan,Kartika Sari Juniwati,Senin 10/12,16.30,A.109
1765,2018-12-10 02:13:37,ECEU Mikroekonomi 1 F dosen Niniek L. Gyat kuliah pengganti akan diberikan hari Selasa 11/12 jam 11.00 R. A.106,twitter.com/i/web/status/1071951035327868928,ECEU,Mikroekonomi 1 F,Niniek L. Gyat,Selasa 11/12,11.00,A.106
1766,2018-12-10 01:46:00,ECMU Manajemen Keuangan dosen M. Budi P  kls H Kuliah Pengganti akan Diberikan Hari Senin 10/12 jam 11.00 Ruang B.110,twitter.com/i/web/status/1071944087660486656,ECMU,Manajemen Keuangan,M. Budi P  kls H,Senin 10/12,11.00,B.110
1767,2018-12-10 01:45:45,ECMU Ekonomi Zakat 7 Wakaf  dosen Mustaf Edwin N Kuliah Pengganti akan Diberikan Hari Senin 10/12 jam 11.00 Ruang B.111,twitter.com/i/web/status/1071944025047879680,ECMU,Ekonomi Zakat 7 Wakaf,Mustaf Edwin N,Senin 10/12,11.00,B.111
1768,2018-12-10 01:44:54,ECMU Kewirausaan Islam dosen Hapsari Kuliah Pengganti akan Diberikan Hari Senin 10/12 jam 11.00 Ruang B.106,twitter.com/i/web/status/1071943810555367424,ECMU,Kewirausaan Islam,Hapsari,Senin 10/12,11.00,B.106
1769,2018-12-10 01:13:52,ECIE Mikroekonomi 2 dosen Ari Kuncoro Kuliah Pengganti akan diberikan Hari Senin 10/12 Jam 12.00 Ruang. A.111,twitter.com/i/web/status/1071936001075961856,ECIE,Mikroekonomi 2,Ari Kuncoro,Senin 10/12,12.00,. A.111
1770,2018-12-08 02:08:14,ECAU Akuntansi Biaya  dosen : Rini Yulius kuliah pengganti akan   diberikan hari Sabtu:  8 Des' 2018  Pukul : 11.00 WIB.  di  Ruang  R. A.106,twitter.com/i/web/status/1071224906602340352,ECAU,Akuntansi Biaya,: Rini Yulius,Sabtu:  8 Des' 2018  Pukul : 11.00 WIB.  di,,A.106
1771,2018-12-08 01:27:24,ECAU Akuntansi Biaya  dosen : Thomas Secokusumo kuliah pengganti akan  diberikan hari Sabtu 8 Des' 2018  pukul 09.30 WIB di  Ruang  R. A.107,twitter.com/i/web/status/1071214629160804352,ECAU,Akuntansi Biaya,: Thomas Secokusumo,Sabtu 8 Des' 2018  pukul 09.30 WIB di,,A.107
1772,2018-12-08 01:25:36,ECEU Metode Penelitian  dosen : Uka Wikarya kuliah pengganti akan diberikan hari Sabtu 8 Des' 2018  pukul 12.00 WIB di  Ruang  R. A.102,twitter.com/i/web/status/1071214175827898368,ECEU,Metode Penelitian,: Uka Wikarya,Sabtu 8 Des' 2018  pukul 12.00 WIB di,,A.102
1773,2018-12-07 08:51:55,ECMU Manajemen Stratejik dosen Anna Amalia Agus Kuliah Pengganti akan diberikan hari Sabtu8/12 jam 09.00 Ruang A.108,twitter.com/i/web/status/1070964107916918784,ECMU,Manajemen Stratejik,Anna Amalia Agus,Sabtu8/12,09.00,A.108
1774,2018-12-07 07:37:07,ECEU Matematika Ekonomi dan Bisnis dosen Amalia kuliah pengganti akan diberikan hari Sabtu 8/12 jam 08.00 R. A.101,twitter.com/i/web/status/1070945282295123968,ECEU,Matematika Ekonomi dan Bisnis,Amalia,Sabtu 8/12,08.00,A.101
1775,2018-12-07 07:35:33,ECMU Pengantar Hukum Bisnis dosen Siti Adiprigandari A. kuliah pengganti akan diberikan hari Selasa 11/12 jam 17.00 R. A.112,twitter.com/i/web/status/1070944890970730496,ECMU,Pengantar Hukum Bisnis,Siti Adiprigandari A.,Selasa 11/12,17.00,A.112
1776,2018-12-07 06:59:11,ECIE Ekonometrika Keuangan dosen M. Budi Prasetyo kuliah pengganti akan diberikan hari Senin 10/12 jam 14.00 R. B.108,twitter.com/i/web/status/1070935736629682177,ECIE,Ekonometrika Keuangan,M. Budi Prasetyo,Senin 10/12,14.00,B.108
1777,2018-12-07 06:50:34,ECAU Sistem Informasi Akuntansi C dosen Annisa kuliah pengganti akan diberikan hari Selasa 11/12 jam 08.00 R. A.315,twitter.com/i/web/status/1070933568963006465,ECAU,Sistem Informasi Akuntansi C,Annisa,Selasa 11/12,08.00,A.315
1778,2018-12-07 06:46:09,ECEU Mikroekonomi 1 dosen Teguh Dartanto kuliah pengganti akan diberikan hari Selasa 11/12 jam 16.30 R. A.101,twitter.com/i/web/status/1070932457313120257,ECEU,Mikroekonomi 1,Teguh Dartanto,Selasa 11/12,16.30,A.101
1779,2018-12-07 06:42:34,ECAU Audit dan Asurans dosen Agung Nugroho kuliah pengganti akan diberikan hari Sabtu 8/12 jam 08.00 R. Istama,twitter.com/i/web/status/1070931555625820161,ECAU,Audit dan Asurans,Agung Nugroho,Sabtu 8/12,08.00,Istama
1780,2018-12-07 06:41:29,ECIE Bisnis Global Islam dosen Evony Eilvino kuliah pengganti akan diberikan hari Senin 10/12 jam 14.00 R. B.110,twitter.com/i/web/status/1070931281104396288,ECIE,Bisnis Global Islam,Evony Eilvino,Senin 10/12,14.00,B.110
1781,2018-12-07 06:32:59,ECIE Ekonomi Keuangan Islam dosen Ahmad Mikail kuliah pengganti akan diberikan hari Sabtu 8/12 jam 08.00 R. A.109,twitter.com/i/web/status/1070929142114217984,ECIE,Ekonomi Keuangan Islam,Ahmad Mikail,Sabtu 8/12,08.00,A.109
1782,2018-12-07 03:56:50,ECIE Metode Penelitian dosen Uka Wikarya Kuliah hari Jum'at 7/12 DITIADAKAN,twitter.com/i/web/status/1070889849706635264,ECIE,Metode Penelitian,Uka Wikarya,Jum'at 7/12 DITIADAKAN,,
1783,2018-12-07 03:35:05,ECMU Pasar dan Lembaga Keuangan dosen Shalahuddin Haikal kuliah pengganti akan diberikan hari Senin 10/12 jam 14.00 R. A.317,twitter.com/i/web/status/1070884372851478532,ECMU,Pasar dan Lembaga Keuangan,Shalahuddin Haikal,Senin 10/12,14.00,A.317
1784,2018-12-07 03:19:05,ECEU Ekonomi Lingkungan dosen Alin Halimatussadiah kuliah pengganti akan diberikan hari Jumat 7/12 jam 14.00 R. A.204,twitter.com/i/web/status/1070880347833827328,ECEU,Ekonomi Lingkungan,Alin Halimatussadiah,Jumat 7/12,14.00,A.204
1786,2018-12-07 03:06:59,ECEU Matematika Ekonomi 1 dosen Nachrowi kuliah pengganti akan diberikan hari Kamis 12/12 jam 8.30 R. A.112,twitter.com/i/web/status/1070877302534205440,ECEU,Matematika Ekonomi 1,Nachrowi,Kamis 12/12,8.30,A.112
1787,2018-12-07 03:03:40,ECEU Seminar Ekonomi Publik dosen Sartika Djamaluddin kuliah pengganti akan diberikan hari Rabu 12/12 jam 11.00 R. A.318,twitter.com/i/web/status/1070876469872611329,ECEU,Seminar Ekonomi Publik,Sartika Djamaluddin,Rabu 12/12,11.00,A.318
1788,2018-12-07 02:59:37,ECEU Matematika Ekonomi 1 dosen Prani Sastiono kuliah pengganti akan diberikan hari Senin 10/12 jam 16.30 R. A.16.30,twitter.com/i/web/status/1070875449314557952,ECEU,Matematika Ekonomi 1,Prani Sastiono,Senin 10/12,16.30,A.16.30
1789,2018-12-07 02:57:49,ECEU Ekonomi Syariah dosen Soleh Nurzaman kuliah pengganti akan diberikan hari Senin 10/12 jam 16.30 R. B.111,twitter.com/i/web/status/1070874997529276416,ECEU,Ekonomi Syariah,Soleh Nurzaman,Senin 10/12,16.30,B.111
1791,2018-12-07 02:49:06,ECIE Makroekonomi Islam dosen Sugiharso/Soleh Nurzaman kuliah pengganti akan diberikan hari Senin 10/12 jam 16.00 R. B.102,twitter.com/i/web/status/1070872802209652736,ECIE,Makroekonomi Islam,Sugiharso/Soleh Nurzaman,Senin 10/12,16.00,B.102
1792,2018-12-07 02:47:18,ECEU Matematika Ekonomi dan Bisnis dosen Aiunul Huda kuliah pengganti akan diberikan hari Senin 10/12 jam 11.00 R. A.109,twitter.com/i/web/status/1070872350814494720,ECEU,Matematika Ekonomi dan Bisnis,Aiunul Huda,Senin 10/12,11.00,A.109
1793,2018-12-07 02:45:39,ECEU MIkroekonomi 1 dosen Tezza Napitupulu kuliah pengganti akan diberikan hari Sabtu 8/12 jam 09.00 R. A.111,twitter.com/i/web/status/1070871934227730434,ECEU,MIkroekonomi 1,Tezza Napitupulu,Sabtu 8/12,09.00,A.111
1794,2018-12-07 01:58:32,ECMU Metode Riset Bisnis dosen Adi Waskito kuliah pengganti akan diberikan hari Sabtu 8/12 jam 09.00 R. A.112,twitter.com/i/web/status/1070860074824851456,ECMU,Metode Riset Bisnis,Adi Waskito,Sabtu 8/12,09.00,A.112
1795,2018-12-07 01:54:58,ECAU Pengantar Akuntansi dosen Vita Silvira kuliah penggant5i akan diberikan hari Rabu 12/12 jam 17.00 R. A.112,twitter.com/i/web/status/1070859178124574720,ECAU,Pengantar Akuntansi,Vita Silvira,Rabu 12/12,17.00,A.112
1797,2018-12-06 09:12:21,ECEI Ekonomi Digital dosen Chaikal Nuryakin Kuliah Pengganti akan diberikan hari Sabtu8/12 Jam 13.00 Ruang A.101,twitter.com/i/web/status/1070606863463407616,ECEI,Ekonomi Digital,Chaikal Nuryakin,Sabtu8/12,13.00,A.101
1798,2018-12-06 07:32:03,ECEI Ekonomi Syariah dosen Kenny Devita Kuliah Pengganti akan diberikan Hari Jum'at.7/12 Jam 11.00 Ruang B.105,twitter.com/i/web/status/1070581619843522561,ECEI,Ekonomi Syariah,Kenny Devita,Jum'at.7/12,11.00,B.105
1799,2018-12-06 07:30:18,ECMU Metode Riset dan Bisnis dosen Adi Waskito Kuliah Pengganti akan diberikan Hari Jum'at7/12 Jam 09.00 Ruang B.101,twitter.com/i/web/status/1070581178472656896,ECMU,Metode Riset dan Bisnis,Adi Waskito,Jum'at7/12,09.00,B.101
1800,2018-12-06 07:22:42,ECEI Pengantar Ekonometrika -B dosen Sartika Djamaludin Kuliah Pengganti akan diberikan Hari Jum'at7/12 Jam 16.30 Ruang A.103,twitter.com/i/web/status/1070579269099638784,ECEI,Pengantar Ekonometrika  B,Sartika Djamaludin,Jum'at7/12,16.30,A.103
1801,2018-12-06 07:19:36,ECEA APLK-A dosen Rallyati / Evony S Kuliah Pengganti akan diberikan hari Jum'at7/12 Jam 14.00 Ruang B.105,twitter.com/i/web/status/1070578488724271104,ECEA,APLK A,Rallyati / Evony S,Jum'at7/12,14.00,B.105
1802,2018-12-06 06:48:17,ECEA Akuntansi Biaya Kls G Dosen Dwi Hartanti Kuliah Pengganti akan diberikan Hari Jum'at 7/12 Jam 08.00 Ruang A.209,twitter.com/i/web/status/1070570607304105984,ECEA,Akuntansi Biaya G,Dwi Hartanti,Jum'at 7/12,08.00,A.209
1803,2018-12-06 06:47:20,ECEA Pengantar Kombis TPI dosen Sonya O Kuliah Pengganti Akan diberikan Hari Jum'at. 7/12 jam 08.00 Ruang A.210,twitter.com/i/web/status/1070570367234715649,ECEA,Pengantar Kombis TPI,Sonya O,Jum'at. 7/12,08.00,A.210
1804,2018-12-06 04:21:41,ECEA Pengantar Akuntansi dosen Dini Marina Kuliah Pengganti akan diberikan hari Jum'at 7/12 Jam 14.00 Ruang A.318,twitter.com/i/web/status/1070533713245626368,ECEA,Pengantar Akuntansi,Dini Marina,Jum'at 7/12,14.00,A.318
1805,2018-12-06 04:08:29,ECIE Mikro 1 dosen Lidya Napitupulu Kuliah akan diberikan hari Kamis6/12 Jam 15.00 Ruang A.106,twitter.com/i/web/status/1070530389809094656,ECIE,Mikro 1,Lidya Napitupulu,Kamis6/12,15.00,A.106
1806,2018-12-06 04:02:25,ECIE Statekbis  dosen Nanda N. Kuliah Pengganti akan diberikan hari Kamis6/12 Jam 14.00 Ruang A.317,twitter.com/i/web/status/1070528866647662592,ECIE,Statekbis,Nanda N.,Kamis6/12,14.00,A.317
1807,2018-12-06 04:01:03,ECIE Mikroekonomi 1 dosen Widyanti  S. Kuliah Pengganti akan diberikan hari Kamis6/12 Jam 14.00 Ruang A.211,twitter.com/i/web/status/1070528519761870849,ECIE,Mikroekonomi 1,Widyanti  S.,Kamis6/12,14.00,A.211
1808,2018-12-06 03:57:30,ECIE Pengantar Ekonomi dosen Soegiharso S. Kuliah Pengganti akan diberikan hari Kamis6/12 Jam 17.00 Ruang A.101,twitter.com/i/web/status/1070527626681311232,ECIE,Pengantar Ekonomi,Soegiharso S.,Kamis6/12,17.00,A.101
1809,2018-12-05 08:48:22,ECAU Akuntansi Biaya dosen Mafrizal Heppy kuliah pengganti akan diberikan hari Kamis 6/12 jam 16.30 R. A.103,twitter.com/i/web/status/1070238439361015808,ECAU,Akuntansi Biaya,Mafrizal Heppy,Kamis 6/12,16.30,A.103
1811,2018-12-05 07:32:04,ECFE MMI H dosen M. Hafiizh kuliah tambahan akan diberikan hari Kamis 6/12 jam 08.00 R. A.206,twitter.com/i/web/status/1070219236277018625,ECFE,MMI H,M. Hafiizh,Kamis 6/12,08.00,A.206
1812,2018-12-05 07:31:08,ECEU Pengantar Ekonometrika dosen Riyanto kuliah tambahan akan diberikan hari Kamis 6/12 jam 10.00 R. A.314,twitter.com/i/web/status/1070219001811222528,ECEU,Pengantar Ekonometrika,Riyanto,Kamis 6/12,10.00,A.314
1814,2018-12-05 06:47:45,ECMU Metode Riset Bisnis B dosen Nissa Ghulma kuliah tambahan akan diberikan hari Kamis 6/12 jam 16.30 R. A.111,twitter.com/i/web/status/1070208086311264256,ECMU,Metode Riset Bisnis B,Nissa Ghulma,Kamis 6/12,16.30,A.111
1815,2018-12-05 06:45:35,ECAU Perpajakan 2 dosen Anis Al Rosjidi / Muslimin kuliah pengganti akan diberikan hari Selasa 11/12 jam 08.00 R. A.312,twitter.com/i/web/status/1070207539248168961,ECAU,Perpajakan 2,Anis Al Rosjidi / Muslimin,Selasa 11/12,08.00,A.312
1816,2018-12-05 06:41:27,ECIE Metodologi Ekonomi Islam dosen Mustafa Edwin Nasution kuliah pengganti akan diberikan hari Selasa 11/12 jam 11.00 R. A.111,twitter.com/i/web/status/1070206497529851904,ECIE,Metodologi Ekonomi Islam,Mustafa Edwin Nasution,Selasa 11/12,11.00,A.111
1817,2018-12-05 06:36:04,ECMU Manajemen Keuangan dosen Wardatul A. kuliah pengganti akan diberikan hari Kamis 6/12 jam 16.30 R. A.111,twitter.com/i/web/status/1070205142291501057,ECMU,Manajemen Keuangan,Wardatul A.,Kamis 6/12,16.30,A.111
1818,2018-12-05 06:34:02,ECEU Manajemen Stratejik dosen Ana Amalia Agus kuliah tambahan akan diberikan hari Rabu 5/12 jam 16.00 R. A.108,twitter.com/i/web/status/1070204633795063808,ECEU,Manajemen Stratejik,Ana Amalia Agus,Rabu 5/12,16.00,A.108
1819,2018-12-05 04:25:14,ECEU Matematika Ekonomi amp Bisnis dosen Sartika Djamaluddin kuliah tambahan akan diberikan hari Kamis 6/12 jam 14.00 R. A.212,twitter.com/i/web/status/1070172218695401472,ECEU,Matematika Ekonomi  Bisnis,Sartika Djamaluddin,Kamis 6/12,14.00,A.212
1820,2018-12-05 03:55:09,ECFE APEB dosen Dwi Widiastri kuliah tambahan akan diberikan hari Selasa 11/12 jam 16.30 R. A.113,twitter.com/i/web/status/1070164647985049601,ECFE,APEB,Dwi Widiastri,Selasa 11/12,16.30,A.113
1821,2018-12-05 03:53:51,ECEU Pengantar Experimental dosen Chaikal N / Berly W. kuliah tambahan akan diberikan hari Senin 10/12 jam 16.30 R. A.112,twitter.com/i/web/status/1070164322561617920,ECEU,Pengantar Experimental,Chaikal N / Berly W.,Senin 10/12,16.30,A.112
1823,2018-12-05 03:50:32,ECEU Matematika Ekonomi 1 dosen Nachrowi kuliah pengganti akan diberikan hari Senin 10/12 jam 12.30 R. B.102,twitter.com/i/web/status/1070163486309675008,ECEU,Matematika Ekonomi 1,Nachrowi,Senin 10/12,12.30,B.102
1824,2018-12-05 03:41:49,UUI MPKT A K dosen Nayunda A. kuliah pengganti akan diberikan hari Jumat 7/12 jam 16.00 R. A.110,twitter.com/i/web/status/1070161292411850753,UUI,MPKT A K,Nayunda A.,Jumat 7/12,16.00,A.110
1825,2018-12-05 03:14:09,ECAU Analitik Bisnis dosen Annisa kuliah tambahan akan diberikan hari Jumat 7/12 jam 10.30 R. A.109,twitter.com/i/web/status/1070154331792392192,ECAU,Analitik Bisnis,Annisa,Jumat 7/12,10.30,A.109
1826,2018-12-05 03:11:39,ECMU Manajemen Keuangan dosen Dony A. Cholid kuliah tambahan akan diberikan hari Kamis 6/12 jam 11.00 R. B.103,twitter.com/i/web/status/1070153701157888002,ECMU,Manajemen Keuangan,Dony A. Cholid,Kamis 6/12,11.00,B.103
1828,2018-12-05 03:05:14,ECMU Pasar dan Lembaga Keuangan dosen Roswita Nila Kurnia kuliah tambahan akan diberikan hari Sabtu 8/12 jam 08.00 R. A.103,twitter.com/i/web/status/1070152088166907904,ECMU,Pasar dan Lembaga Keuangan,Roswita Nila Kurnia,Sabtu 8/12,08.00,A.103
1829,2018-12-04 07:55:39,ECAU Analitik Bisnis dosen Annisa kuliah pengganti akan diberikan hari Rabu 5/12 jam 16.30 R. A.316,twitter.com/i/web/status/1069862786124079104,ECAU,Analitik Bisnis,Annisa,Rabu 5/12,16.30,A.316
1830,2018-12-04 07:33:07,ECEU Mikroekonomi 2 dosen Prani Sastiono kuliah penggganti akan diberikan hari Rabu 5/12 jam 16.30 R. A.104,twitter.com/i/web/status/1069857115341172739,ECEU,Mikroekonomi 2,Prani Sastiono,Rabu 5/12,16.30,A.104
1831,2018-12-04 07:28:10,ECFE PKBTPA dosen Wasilah kuliah pengganti akan diberikan hari hari Kamis 6/12 jam 14.00 R. A.102,twitter.com/i/web/status/1069855866650746880,ECFE,PKBTPA,Wasilah,,,
1832,2018-12-04 06:41:27,ECAU Metode Penelitian Akuntansi E dosen Viska A. kuliah pengganti akan diberikan hari Jumat 7/12 jam 08.00 R. A.208,twitter.com/i/web/status/1069844112159891456,ECAU,Metode Penelitian Akuntansi E,Viska A.,Jumat 7/12,08.00,A.208
1833,2018-12-04 06:40:25,ECEU Seminar Ekonomi Publik dosen Sartika Djamaluddin kuliah pengganti akan diberikan hari Jumat 7/12 jam 14.00 R. A.103,twitter.com/i/web/status/1069843851223871488,ECEU,Seminar Ekonomi Publik,Sartika Djamaluddin,Jumat 7/12,14.00,A.103
1834,2018-12-04 06:39:03,ECAU Audit Keuangan Negara dosen Irmansyah kuliah akan diberikan hari Jumat 7/12 jam 08.00 2 sesi R. A.205,twitter.com/i/web/status/1069843507022426113,ECAU,Audit Keuangan Negara,Irmansyah,Jumat 7/12,08.00 2 sesi,A.205
1835,2018-12-04 06:37:45,ECIE Ekonomi Moneter Islam dosen Ledi Trialdi kuliah pengganti akan diberikan hari Rabu 5/12 jam 11.00 R. A.317,twitter.com/i/web/status/1069843178306461696,ECIE,Ekonomi Moneter Islam,Ledi Trialdi,Rabu 5/12,11.00,A.317
1836,2018-12-04 04:03:07,ECMU Analisa Laporan Keuangan dosen Zuliani Dalimunthe / Fajar T. kuliah TAMBAHAN akan diberikan hari Selasa 4/12 jam 16.30 R. A.112,twitter.com/i/web/status/1069804266334773250,ECMU,Analisa Laporan Keuangan,Zuliani Dalimunthe / Fajar T.,Selasa 4/12,16.30,A.112
1837,2018-12-04 03:47:55,ECMU Pengantar Hukum Bisnis dosen Anas Luthfi kuliah TAMBAHAN akan diberikan hari Senin 10/12 jam 11.00 R. A.101,twitter.com/i/web/status/1069800441255407616,ECMU,Pengantar Hukum Bisnis,Anas Luthfi,Senin 10/12,11.00,A.101
1839,2018-12-04 02:50:34,ECEU Ekonomi Keuangan Negara dosen Sartika Djamaluddin kuliah hari Senin 10/12 ditiadakan diganti hari Rabu. 5/12 jam 16.30 R. A.101,twitter.com/i/web/status/1069786007841558528,ECEU,Ekonomi Keuangan Negara,Sartika Djamaluddin,Senin 10/12 ditiadakan diganti,,
1841,2018-12-04 02:44:42,ECEU Statistika Ekonomi Bisnis dosen Uka Wikarya kuliah hari Kamis 6/12 ditiadakan diganti hari Sabtu 8/12 jam 09.00 R. A.105,twitter.com/i/web/status/1069784530515423232,ECEU,Statistika Ekonomi Bisnis,Uka Wikarya,Kamis 6/12 ditiadakan diganti,,
1842,2018-12-04 02:43:08,ECAU Tatakelola Perusahaan CG dosen Fitriany / Chaerul Djakman kuliah pengganti akan diberikan hari Rabu 5/12 jam 1100 2 sesi R. A.318,twitter.com/i/web/status/1069784135189712897,ECAU,Tatakelola Perusahaan CG,Fitriany / Chaerul Djakman,Rabu 5/12,1100 2 sesi,A.318
1843,2018-12-04 02:39:50,ECAU Akuntansi Keuangan Lanjutan dosen Viska A kuliah pengganti akan diberikan hari Kamis 6/12 jam 11.00 R. A.207,twitter.com/i/web/status/1069783307724906497,ECAU,Akuntansi Keuangan Lanjutan,Viska A,Kamis 6/12,11.00,A.207
1844,2018-12-04 02:35:49,ECAU Akuntansi Keuangan 1 dosen Cut Saskia Rahman kuliah pengganti akan diberikan hari Selasa 4/12 jam 14.00 R. A.209,twitter.com/i/web/status/1069782295953866752,ECAU,Akuntansi Keuangan 1,Cut Saskia Rahman,Selasa 4/12,14.00,A.209
1845,2018-12-04 02:28:29,ECMU Pengantar Manajemen Sain dosen Ratih Dyah K.  kuliah pengganti akan diberikan hari Jumat 7/12 jam 16.30 R. B.102,twitter.com/i/web/status/1069780450548211712,ECMU,Pengantar Manajemen Sain,Ratih Dyah K.,Jumat 7/12,16.30,B.102
1848,2018-12-03 07:50:49,ECMU Pasar dan Lembaga Keuangan dosen Rahmat Aryo B. kuliah pengganti akan diberikan hari Selasa 4/12 jam 11.00 2 sesi R. menyusul,twitter.com/i/web/status/1069499181264322560,ECMU,Pasar dan Lembaga Keuangan,Rahmat Aryo B.,Selasa 4/12,11.00 2 sesi,menyusul
1850,2018-12-03 07:21:52,ECAU Bisnis Digital kuliah pengganti akan diberikan hari Jumat 7/12 jam 10.30 R. A.104,twitter.com/i/web/status/1069491894537793537,ECAU,Bisnis Digital,,Jumat 7/12,10.30,A.104
1851,2018-12-03 07:20:32,ECMU Manajemen Pemasaran dosen Adi Zakaria Afiff kuliah pengganti akan diberikan hari Jumat 7/12 jam 08.00 R. A.109,twitter.com/i/web/status/1069491557064105985,ECMU,Manajemen Pemasaran,Adi Zakaria Afiff,Jumat 7/12,08.00,A.109
