,Tweet Created At,Tweet Text,Tweet Link,code_clasif,class,lecture_name,date,hour,classroom
2731,2018-09-03 08:26:58,ECEA Sistem Informasi Akuntansi dosen Adriyanti W/ Annisa Kuliah Hari Selasa 4/9 DITIADAKAN. Penggantinya Minggu depan Didiskusikan,twitter.com/i/web/status/1036530981040054272,ECEA,Sistem Informasi Akuntansi,Adriyanti W/ Annisa,Selasa 4/9 DITIADAKAN. Penggantinya Minggu depan Didiskusikan,,
2732,2018-09-03 06:49:04,ECMU Manajemen Keuangan dosen VIverita / Dony A. Chalid kuliah hari Selasa 4/9 DITIADAKAN diganti hari Sabtu 8/9 jam 08.00 R. A.102,twitter.com/i/web/status/1036506343199277057,ECMU,Manajemen Keuangan,VIverita / Dony A. Chalid,Selasa 4/9 DITIADAKAN diganti,,
2734,2018-09-03 03:51:17,ECEU Matematika Ekonomi dan Bisnis A dosen Nachrowi D. Nachrowi kuliah hari Rabu 5/9 DITIADAKAN DIGANTI Sabtu 8/9 jam 13.30 R. A.101,twitter.com/i/web/status/1036461604252991488,ECEU,Matematika Ekonomi dan Bisnis A,Nachrowi D. Nachrowi,Rabu 5/9 DITIADAKAN DIGANTI Sabtu 8/9,13.30,A.101
2735,2018-09-03 03:49:04,ECMU Manajemen Stratejik B dosen Rhenald Kasali / Avanti Fontana kuliah hari Rabu 5/9 DITIADAKAN diganti hari Kamis 6/9 jam 16.30 R. A.101,twitter.com/i/web/status/1036461046360240128,ECMU,Manajemen Stratejik B,Rhenald Kasali / Avanti Fontana,Rabu 5/9 DITIADAKAN diganti,,
2737,2018-09-03 02:42:14,ECMU Perilaku Keorganisasian C dosen Siti Basrochah / Imbuh S. kuliah hari Senin 3/9 DITIADAKAN,twitter.com/i/web/status/1036444226819567617,ECMU,Perilaku Keorganisasian C,Siti Basrochah / Imbuh S.,Senin 3/9 DITIADAKAN,,
2738,2018-09-03 02:07:34,ECIE Ekonomi Internasional dosen Nanda Nurizdki Kuliah Hari Senin3/9 DITIADAKAN DIGANTI Senin10/9  2 SESI,twitter.com/i/web/status/1036435501652168705,ECIE,Ekonomi Internasional,Nanda Nurizdki,Senin3/9 DITIADAKAN DIGANTI Senin10/9  2 SESI,,
2739,2018-09-03 01:38:47,ECEA Metode Penelitian Akuntansi  dosen Ratna Wardani Kuliah Hari Senin3/9 DITIADAKAN,twitter.com/i/web/status/1036428257938235392,ECEA,Metode Penelitian Akuntansi,Ratna Wardani,Senin3/9 DITIADAKAN,,
2740,2018-09-03 01:37:24,ECMU Perilaku Keorganisasian dosen Bagus Adi Lutfi Kuliah Hari Senin3/9 DITIADAKAN,twitter.com/i/web/status/1036427911018868736,ECMU,Perilaku Keorganisasian,Bagus Adi Lutfi,Senin3/9 DITIADAKAN,,
2741,2018-09-03 01:35:03,ECEA Akuntransi Sektor Publik  dosen Ratna Wardani Kuliah Hari Senin3/9 DITIADAKAN,twitter.com/i/web/status/1036427317927600130,ECEA,Akuntransi Sektor Publik,Ratna Wardani,Senin3/9 DITIADAKAN,,
2742,2018-09-03 01:32:38,ECEA Bisnis Global kls E dosen Wasilah Kuliah Hari Senin3/9 DITIADAKAN,twitter.com/i/web/status/1036426710193856514,ECEA,Bisnis Global E,Wasilah,Senin3/9 DITIADAKAN,,
2743,2018-09-01 02:04:52,ECEAManajemen Perpajakan dosen TB. Chaerul Amachi kuliah Hari Senin 3 / 9 DITIADAKAN,twitter.com/i/web/status/1035710047177723904,ECEA,Perpajakan,TB. Chaerul Amachi,Senin 3 / 9 DITIADAKAN,,
2744,2018-09-01 02:03:34,ECMU Pratikum Riset Keuangan dosen Buddi Wibowo Kuliah Hari Senin 3/9 DITIADAKAN,twitter.com/i/web/status/1035709718465925121,ECMU,Pratikum Riset Keuangan,Buddi Wibowo,Senin 3/9 DITIADAKAN,,
2745,2018-09-01 02:02:50,ECEA Bisnis Global dosen Emil Bachtiar / Indah Melati kuliah Hari Senin 3 / 9 DITIADAKAN,twitter.com/i/web/status/1035709533643886593,ECEA,Bisnis Global,Emil Bachtiar / Indah Melati,Senin 3 / 9 DITIADAKAN,,
757,2019-05-18 01:24:42,ECIE Ekonomi Pendagangan Internasional dosen Marie Elka Pangestu / Jose Rizal Kuliah Pengganti akan diberikan Hari Sabtu18/5 Jam 09.00 Ruang A.112,twitter.com/i/web/status/1129558397064343554,ECIE,Ekonomi Pendagangan Internasional,Marie Elka Pangestu / Jose Rizal,Sabtu18/5,09.00,A.112
761,2019-05-16 07:58:17,ECFE APEB dosen Mulia Hamanangan kuliah pengganti akan diberikan hari Jumat 17/5 jam 11.00 R. A.109,twitter.com/i/web/status/1128932668639330304,ECFE,APEB,Mulia Hamanangan,Jumat 17/5,11.00,A.109
764,2019-05-16 04:06:56,ECAU Pengauditan dan Asurans 2 dosen Agung Nugroho kuliah hari Jumat 17/5 DITIADAKAN diganti hari hari Sabtu 18/5 jam 14.00 R. 2 sesi R. Istama,twitter.com/i/web/status/1128874446872227840,ECAU,Pengauditan dan Asurans 2,Agung Nugroho,Jumat 17/5 DITIADAKAN diganti,,
768,2019-05-15 04:13:05,ECAU Teori Akuntansi Keuangan A dosen Fitriany kuliah pengganti akan diberikan hari Kamis 16/5 jam 11.00 R. A.313,twitter.com/i/web/status/1128513606478221313,ECAU,Teori Akuntansi Keuangan A,Fitriany,Kamis 16/5,11.00,A.313
769,2019-05-15 03:35:14,ECMU Manajemen Distribusi dosen Anna Amaliyah Agus kuliah pengganti akan diberikan  hari sabtu 18/5 jam 10.00 R. A.113,twitter.com/i/web/status/1128504084300992515,ECMU,Manajemen Distribusi,Anna Amaliyah Agus,sabtu 18/5,10.00,A.113
770,2019-05-15 03:34:06,ECIE SPPEI B dosen Banu Muhammad kuliah pengganti akan diberikan hari Sabtu 18/5 jam 10.00 R. A.102,twitter.com/i/web/status/1128503796643057664,ECIE,SPPEI B,Banu Muhammad,Sabtu 18/5,10.00,A.102
771,2019-05-15 03:32:34,ECAU Audit Internal dosen Mahdan Ibrahim kuliah pengganti akan diberikan hari Sabtu 18/5 jam 11.00 2 sesi R. A.101,twitter.com/i/web/status/1128503411861639169,ECAU,Audit Internal,Mahdan Ibrahim,Sabtu 18/5,11.00 2 sesi,A.101
773,2019-05-15 03:06:48,ECMU Pengambilan Keputusan Manajerial dosen Ismaeni kuliah pengganti akan diberikan hari Jumat 17/5 jam 14.00 R. A.104,twitter.com/i/web/status/1128496926897262592,ECMU,Pengambilan Keputusan Manajerial,Ismaeni,Jumat 17/5,14.00,A.104
774,2019-05-15 03:05:28,ECEU Makroekonomi 2 dosen Ari Kuncoro kuliah pengganti akan diberikan hari Jumat 17/5 jam 16.00 R. A.112,twitter.com/i/web/status/1128496591478747138,ECEU,Makroekonomi 2,Ari Kuncoro,Jumat 17/5,16.00,A.112
775,2019-05-15 03:04:12,ECIE PKPI dosen Tika Arundina kuliah pengganti akan diberikan hari Jumat 17/5 jam 08.00 R. B.104,twitter.com/i/web/status/1128496270908231681,ECIE,PKPI,Tika Arundina,Jumat 17/5,08.00,B.104
776,2019-05-15 02:29:19,ECEA PKBTPA dosen Wardatul Adawiyah Kuliah Pengganti Akan diberikan Hari Rabu15/5 Jam 16.30 Ruang. A.113,twitter.com/i/web/status/1128487493433810944,ECEA,PKBTPA,Wardatul Adawiyah,Rabu15/5,16.30,. A.113
777,2019-05-15 01:25:32,ECEA PKBTPA dosen Wasilah Kuliah Akan diberikan Hari Rabu15/5 DIMAJUKAN Menjadi Jam 10.30 Ruang B.107,twitter.com/i/web/status/1128471443354689536,ECEA,PKBTPA,Wasilah,Rabu15/5 DIMAJUKAN Menjadi,10.30,B.107
780,2019-05-13 08:09:13,ECIE ESDAL dosen Tezza Napitupulu Kuliah Pengganti akan diberikan Hari Senin13/5 Jam 16.30 Ruang A.107,twitter.com/i/web/status/1127848256250138625,ECIE,ESDAL,Tezza Napitupulu,Senin13/5,16.30,A.107
781,2019-05-13 07:40:09,ECAU Akuntansi Manajemen dosen Dyah Setyaningrum kuliah pengganti akan diberikan hari Selasa 14/5 jam 14.00 R. Interaktif Dept EAK,twitter.com/i/web/status/1127840942138974208,ECAU,Akuntansi Manajemen,Dyah Setyaningrum,Selasa 14/5,14.00,Interaktif Dept EAK
782,2019-05-13 07:09:26,ECAU Perpajakan 1 dosen Muslimin kuliah pengganti akan diberikan hari Jumat 17/5 jam 14.00 R. A.203,twitter.com/i/web/status/1127833213911486465,ECAU,Perpajakan 1,Muslimin,Jumat 17/5,14.00,A.203
783,2019-05-13 06:49:52,ECAU Akuntansi Keuangan Lanjutan 2 dosen Taufik Hidayat / Nurul Husnah kuliah pengganti akan diberikan hari Selasa 14/5 jam 16.30 R. A.205,twitter.com/i/web/status/1127828289655951360,ECAU,Akuntansi Keuangan Lanjutan 2,Taufik Hidayat / Nurul Husnah,Selasa 14/5,16.30,A.205
784,2019-05-13 04:32:10,ECEU Analisis Kebijakan Publik dosen Fauziah kuliah pengganti akan diberikan hari Kamis 16/5 jam 16.30 R. A.112,twitter.com/i/web/status/1127793633770389504,ECEU,Analisis Kebijakan Publik,Fauziah,Kamis 16/5,16.30,A.112
785,2019-05-13 04:31:21,ECAU Akuntansi Keuangan 2 D dosen Rallyati kuliah pengganti akan diberikan hari Kamis 16/5 jam 14.00 R. A.103,twitter.com/i/web/status/1127793428882812928,ECAU,Akuntansi Keuangan 2 D,Rallyati,Kamis 16/5,14.00,A.103
786,2019-05-13 04:30:34,ECMU Pelatihan dan Pengembangan SDM dosen Niken Ardiyanti kuliah pengganti akan diberikan hari Kamis 16/5 jam 11.00 R. A.209,twitter.com/i/web/status/1127793231968661504,ECMU,Pelatihan dan Pengembangan SDM,Niken Ardiyanti,Kamis 16/5,11.00,A.209
787,2019-05-13 04:29:16,ECFE MPK BHs Inggris dosen Neneng N. kuliah pengganti akan diberikan hari Rabu 15/5 jam 08.00 R. B.109,twitter.com/i/web/status/1127792903152029696,ECFE,MPK BHs Inggris,Neneng N.,Rabu 15/5,08.00,B.109
788,2019-05-13 04:28:17,ECMU Disain Organisasi dosen Elok Savitri P. kuliah pengganti akan diberikan hari Selasa 14.5 jam 14.00 R. A.306,twitter.com/i/web/status/1127792655549657094,ECMU,Disain Organisasi,Elok Savitri P.,Selasa 14.5,14.00,A.306
789,2019-05-13 04:16:07,ECIE Takaful Re Takaful dosen Perata Wulandari kuliah pengganti akan diberikan hari Senin 13/5 jam 14.00 R. A.113,twitter.com/i/web/status/1127789595309924352,ECIE,Takaful Re Takaful,Perata Wulandari,Senin 13/5,14.00,A.113
790,2019-05-13 02:32:22,ECIE Mikro 1 dosen Lidya Napitupulu Kuliah Pengganti akan diberikan Hari Senin13/5 Jam 17.00 Ruang A.107,twitter.com/i/web/status/1127763484224016384,ECIE,Mikro 1,Lidya Napitupulu,Senin13/5,17.00,A.107
791,2019-05-13 02:31:56,ECIE Mikro 1 dosen Lidya Napitupulu Kuliah Pengganti akan diberikan Hari Senin13/5 Jam 11.00 Ruang A.107,twitter.com/i/web/status/1127763378024271872,ECIE,Mikro 1,Lidya Napitupulu,Senin13/5,11.00,A.107
792,2019-05-13 01:24:20,ECIE Mikroekonmi  F dosen Syarifah Liza Munira Kuliah Pengganti akan diberikan Hari Senin13/5 Jam 11.00 Ruang A.207,twitter.com/i/web/status/1127746365893660672,ECIE,Mikroekonmi  F,Syarifah Liza Munira,Senin13/5,11.00,A.207
793,2019-05-13 01:22:48,ECMU Manajemen Operesi F dosen Riqiah Insanita Kuliah Pengganti akan diberikan Hari Senin13/5 Jam 10.30 Ruang A.206,twitter.com/i/web/status/1127745980441325569,ECMU,Manajemen Operesi F,Riqiah Insanita,Senin13/5,10.30,A.206
794,2019-05-13 01:21:21,ECIE ESDMK dosen Padang Wicaksono Kuliah Pengganti akan diberikan Hari Senin13/5 Jam 08.00 Ruang A.318,twitter.com/i/web/status/1127745612261122048,ECIE,ESDMK,Padang Wicaksono,Senin13/5,08.00,A.318
795,2019-05-11 02:55:57,ECIEMikroekonomi dosen Tirta Hidayat kuliah Pengganti Akan diberikan Hari Senin13/5 jam 11.00 Ruang A.111,twitter.com/i/web/status/1127044643718230018,ECIE,,Tirta Hidayat,Senin13/5,11.00,A.111
796,2019-05-10 08:07:57,ECIE Makroekonomi 2 dosen Beta Yulianita G Kuliah Pengganti akan diberikan Hari Sabtu11/5 Jam 09.00 Ruang A.103,twitter.com/i/web/status/1126760772577529857,ECIE,Makroekonomi 2,Beta Yulianita G,Sabtu11/5,09.00,A.103
797,2019-05-10 08:01:15,ECMU Motivasi Kepuasan Kerja dosen Ayu Aprilianti kuliah pengganti akan diberikan hari Selasa 14/5 jam 13.30 R. A.306,twitter.com/i/web/status/1126759088778432513,ECMU,Motivasi Kepuasan Kerja,Ayu Aprilianti,Selasa 14/5,13.30,A.306
798,2019-05-10 07:36:29,ECAU Teori akuntansi Keuangan dosen Evony Silvino kuliah pengganti akan diberikan hari Senin 13/5 jam 11.00 R. A.212,twitter.com/i/web/status/1126752854121652227,ECAU,Teori akuntansi Keuangan,Evony Silvino,Senin 13/5,11.00,A.212
800,2019-05-10 07:24:55,ECMU Manajemen Portfolio dosen Cinthia Apriani kuliah akan diberikan hari Jumat 17/5 jam 07.00 R. A.205 2 sesi,twitter.com/i/web/status/1126749944654598144,ECMU,Manajemen Portfolio,Cinthia Apriani,Jumat 17/5,07.00,A.205 2 sesi
